t [± 0.2 s];R [± 0.1 k?]
0;107.6
30;105.6
60;104
90;102.2
120;100.4
150;98.6
180;96.6
210;94.5
240;93.3
270;91.8
300;90.2
330;88.8
360;87.7
390;86
420;84.8
450;83.5
480;82
510;80.6
540;79.1
570;77.5
600;76.6
630;75.5
660;74.6
690;73.3
720;72.7
750;71.7
780;70.7
810;69.8
840;69
870;68
900;67.1
930;66.3
960;65.6
990;64.7
1020;63.7
1050;63.2
1080;62.5
1110;61.7
1140;61
1170;60.3
1200;59.6
