V [±0.001 V];T_D [ºC];T_{Hg} [ºC]
0.43;22;24
0.43;26;25
0.418;28;27
0.413;30;29
0.408;32;31
0.403;34;33
0.399;36;35
0.393;38;37
0.388;40;39
0.383;42;41
0.378;44;43
0.373;46;45
0.368;48;47
0.362;50;49
0.358;52;51
0.353;54;53
0.348;56;55
0.342;58;57
0.338;60;59
0.332;62;61
0.328;64;63
0.323;66;65
0.317;68;67
0.313;70;69
0.308;72;71
0.304;74;73
0.299;76;75
0.294;78;77
0.29;80;79
0.286;82;81
0.281;84;83
0.277;86;85
0.273;88;87
0.27;90;89
;;
