R [±0.1 Ω];T_D [ºC];T_{Hg} [ºC]
108.5;22;21
109.4;24;23
110;26;25
111.2;28;27
111.6;30;29
112.6;32;31
113.3;34;33
113.7;36;35
114.6;38;37
115.4;40;39
116;42;41
116.7;44;43
117.5;46;45
118.2;48;47
119.2;50;49
119.7;52;51
120.4;54;53
121.3;56;55
122.2;58;57
122.9;60;59
123.4;62;61
124.3;64;63
125;66;65
125.9;68;67
126.7;70;69
127.5;72;71
128.2;74;73
129.1;76;75
129.9;78;77
130.9;80;79
131.7;82;81
132.7;84;83
133.5;86;85
134.4;88;87
135.2;89;88
